"Date","Price","Open","High","Low","Change %"
"Nov 22, 2018","65.6248","65.6668","65.6668","65.5351","-0.06%"
"Nov 21, 2018","65.6668","66.1682","66.1682","65.5329","-0.76%"
"Nov 20, 2018","66.1682","65.5405","66.2400","65.5233","0.96%"
"Nov 19, 2018","65.5405","65.9801","66.0983","65.4958","-0.67%"
"Nov 16, 2018","65.9801","65.8920","66.1913","65.6848","0.13%"
"Nov 15, 2018","65.8920","67.0379","67.0379","65.8694","-1.71%"
"Nov 14, 2018","67.0379","68.1147","68.2775","67.0164","-1.58%"
"Nov 13, 2018","68.1147","67.8460","68.1584","67.5515","0.40%"
"Nov 12, 2018","67.8460","68.1088","68.1171","67.3636","-0.39%"
"Nov 09, 2018","68.1088","66.9029","68.1675","66.7741","1.80%"
"Nov 08, 2018","66.9029","66.3182","66.9499","66.1356","0.88%"
"Nov 07, 2018","66.3182","66.1311","66.3197","65.8372","0.28%"
"Nov 06, 2018","66.1311","66.2021","66.2027","65.7600","-0.11%"
"Nov 02, 2018","66.2021","65.7256","66.2805","65.5291","0.72%"
"Nov 01, 2018","65.7256","65.8789","65.8789","65.5690","-0.23%"
"Oct 31, 2018","65.8789","65.5526","65.8875","65.5338","0.50%"
"Oct 30, 2018","65.5526","65.8499","65.8500","65.5168","-0.45%"
"Oct 29, 2018","65.8499","65.7188","65.9376","65.4805","0.20%"
"Oct 26, 2018","65.7188","65.5962","65.9279","65.5294","0.19%"
"Oct 25, 2018","65.5962","65.6765","65.8773","65.4478","-0.12%"
"Oct 24, 2018","65.6765","65.5107","65.7761","65.0140","0.25%"
"Oct 23, 2018","65.5107","65.2420","65.7062","65.2342","0.41%"
"Oct 22, 2018","65.2420","65.4911","65.5205","65.0091","-0.38%"
